"image","exec_id","operation","timestamp","packet_size_bytes","service_owner","img_size_mb"
"fedora32",23,"CREATE",4,393053,"heat",289
"fedora32",23,"CREATE",5,661720,"designate",289
"fedora32",23,"CREATE",6,63072455,"designate",289
"fedora32",23,"CREATE",7,241749041,"glance",289
"fedora32",23,"CREATE",8,326434,"neutron",289
"fedora32",23,"CREATE",9,329740,NA,289
"fedora32",23,"CREATE",10,404903,"heat",289
"fedora32",23,"CREATE",11,773501,"neutron",289
"fedora32",23,"CREATE",12,1078037,"designate",289
"fedora32",23,"CREATE",13,673743,"designate",289
"fedora32",23,"CREATE",14,422732,"designate",289
"fedora32",23,"CREATE",15,268539,NA,289
"fedora32",23,"CREATE",16,398882,"heat",289
"fedora32",23,"CREATE",17,246729,"nova",289
"fedora32",23,"CREATE",18,419438,"designate",289
"fedora32",23,"CREATE",19,341257,"nova",289
"fedora32",23,"CREATE",20,360766,"heat",289
"fedora32",23,"CREATE",21,653862,"designate",289
"fedora32",23,"CREATE",22,290583,"designate",289
"fedora32",23,"CREATE",23,400927,"neutron",289
"fedora32",23,"CREATE",24,269761,"heat",289
"fedora32",23,"CREATE",25,557480,"designate",289
"fedora32",23,"CREATE",26,1220754,"designate",289
"fedora32",23,"CREATE",27,284901,"neutron",289
"fedora32",23,"RESUME",155,4756,NA,289
"fedora32",23,"RESUME",156,341501,"designate",289
"fedora32",23,"RESUME",157,838881,"designate",289
"fedora32",23,"RESUME",158,512895,"designate",289
"fedora32",23,"RESUME",159,112314,NA,289
"fedora32",23,"SHELVE",285,252736,NA,289
"fedora32",23,"SHELVE",286,535700,"designate",289
"fedora32",23,"SHELVE",287,819216,"designate",289
"fedora32",23,"SHELVE",288,418575,NA,289
"fedora32",23,"SHELVE",289,476840,"designate",289
"fedora32",23,"SHELVE",290,285631,NA,289
"fedora32",23,"SHELVE",291,598182,NA,289
"fedora32",23,"SHELVE",292,298159,"designate",289
"fedora32",23,"SHELVE",293,784358,NA,289
"fedora32",23,"SHELVE",294,278043,"neutron",289
"fedora32",23,"SHELVE",295,395199,"manila",289
"fedora32",23,"SHELVE",296,238644,NA,289
"fedora32",23,"SHELVE",297,408831,NA,289
"fedora32",23,"SHELVE",298,263094,"neutron",289
"fedora32",23,"SHELVE",299,356330,"designate",289
"fedora32",23,"SHELVE",300,521063,NA,289
"fedora32",23,"SHELVE",301,195205,"nova",289
"fedora32",23,"SHELVE",302,339950,"designate",289
"fedora32",23,"SHELVE",303,14751,"manila",289
"fedora32",23,"SHELVE",304,191879,"designate",289
"fedora32",23,"SHELVE",305,235641,NA,289
"fedora32",23,"SHELVE",306,432725,NA,289
"fedora32",23,"SHELVE",307,247109,NA,289
"fedora32",23,"SHELVE",308,401927,"nova",289
"fedora32",23,"SHELVE",309,330823,NA,289
"fedora32",23,"SHELVE",310,331095,NA,289
"fedora32",23,"SHELVE",311,522983,NA,289
"fedora32",23,"SHELVE",312,291719,"designate",289
"fedora32",23,"SHELVE",313,397464,"nova",289
"fedora32",23,"SHELVE",314,306559,"designate",289
"fedora32",23,"SHELVE",315,417404,NA,289
"fedora32",23,"SHELVE",316,66410464,"designate",289
"fedora32",23,"SHELVE",317,112899847,"glance",289
"fedora32",23,"SHELVE",318,119479389,"glance",289
"fedora32",23,"SHELVE",319,106764173,"glance",289
"fedora32",23,"SHELVE",320,108407512,"glance",289
"fedora32",23,"SHELVE",321,109493153,"glance",289
"fedora32",23,"SHELVE",322,119549181,"glance",289
"fedora32",23,"SHELVE",323,96801996,"glance",289
"fedora32",23,"SHELVE",324,1241985,"designate",289
"fedora32",23,"SHELVE",325,778858,"designate",289
"fedora32",23,"SHELVE",326,165073,NA,289
"fedora32",23,"STOP",219,89573,NA,289
"fedora32",23,"STOP",220,646609,"designate",289
